Местное время в Москве (ВДНХ),m,t,T,Po,U,DD,Ff,N,WW
01.04.2019 03:00,4,3,5.9,741.6,60,24,1,95,35
01.04.2019 06:00,4,6,3.6,743.2,67,24,1,5,0
01.04.2019 09:00,4,9,4.3,745.0,66,24,2,95,0
01.04.2019 12:00,4,12,3.8,747.1,59,24,1,100,0
01.04.2019 15:00,4,15,3.5,748.5,67,24,3,100,53
01.04.2019 18:00,4,18,2.3,749.7,83,24,2,100,20
01.04.2019 21:00,4,21,1.4,752.2,77,28,2,95,53
02.04.2019 00:00,4,0,0.4,753.7,88,28,1,0,1
02.04.2019 03:00,4,3,-0.4,754.9,82,24,1,0,1
02.04.2019 06:00,4,6,-0.9,755.8,77,28,1,25,0
02.04.2019 09:00,4,9,1.0,757.3,72,2,1,60,0
02.04.2019 12:00,4,12,5.6,757.7,46,0,2,5,0
02.04.2019 15:00,4,15,6.8,756.9,28,2,4,0,0
02.04.2019 18:00,4,18,6.2,756.4,32,2,2,0,0
02.04.2019 21:00,4,21,2.0,756.9,54,32,0,0,0
03.04.2019 00:00,4,0,-0.8,757.2,70,32,0,0,0
03.04.2019 03:00,4,3,-1.4,757.1,76,32,0,0,0
03.04.2019 06:00,4,6,-3.0,757.3,83,32,0,0,0
03.04.2019 09:00,4,9,4.3,757.4,47,0,1,0,0
03.04.2019 12:00,4,12,8.0,756.9,36,4,1,25,0
03.04.2019 15:00,4,15,9.2,755.5,31,4,2,25,0
03.04.2019 18:00,4,18,8.1,754.7,32,2,2,0,0
03.04.2019 21:00,4,21,4.7,754.6,46,32,0,0,0
04.04.2019 00:00,4,0,2.6,754.9,56,32,0,0,0
04.04.2019 03:00,4,3,-1.1,754.8,76,32,0,0,0
04.04.2019 06:00,4,6,-1.6,754.7,78,32,0,0,0
04.04.2019 09:00,4,9,3.4,754.8,51,0,1,75,0
04.04.2019 12:00,4,12,9.5,754.2,25,8,2,100,0
04.04.2019 15:00,4,15,10.5,752.8,22,4,2,100,0
04.04.2019 18:00,4,18,8.6,751.9,25,6,1,75,0
04.04.2019 21:00,4,21,5.4,751.9,35,8,1,75,0
05.04.2019 00:00,4,0,1.0,751.6,57,32,0,60,0
05.04.2019 03:00,4,3,-1.1,751.3,70,32,0,75,0
05.04.2019 06:00,4,6,-2.2,751.2,74,32,0,75,0
05.04.2019 09:00,4,9,3.3,751.5,46,0,1,60,0
05.04.2019 12:00,4,12,9.0,751.7,26,8,1,60,0
05.04.2019 15:00,4,15,9.3,751.9,28,4,2,95,0
05.04.2019 18:00,4,18,6.4,752.7,55,8,1,100,0
05.04.2019 21:00,4,21,4.9,753.5,61,32,0,100,0
06.04.2019 00:00,4,0,3.4,754.1,67,32,0,95,0
06.04.2019 03:00,4,3,2.7,754.8,75,4,1,100,0
06.04.2019 06:00,4,6,2.9,755.2,75,0,1,100,0
06.04.2019 09:00,4,9,3.3,755.8,76,6,1,100,0
06.04.2019 12:00,4,12,6.2,755.6,57,2,1,100,0
06.04.2019 15:00,4,15,7.6,755.1,45,6,1,95,0
06.04.2019 18:00,4,18,5.4,754.7,68,10,1,100,0
06.04.2019 21:00,4,21,3.0,754.5,79,32,0,75,35
07.04.2019 00:00,4,0,-0.2,754.0,92,32,0,25,1
07.04.2019 03:00,4,3,-1.2,753.1,96,32,0,75,1
07.04.2019 06:00,4,6,-2.0,752.7,97,32,0,50,1
07.04.2019 09:00,4,9,4.6,752.5,67,24,1,60,0
07.04.2019 12:00,4,12,7.9,751.9,41,22,1,60,0
07.04.2019 15:00,4,15,7.9,751.3,41,24,1,100,0
07.04.2019 18:00,4,18,8.8,750.7,35,22,1,60,0
07.04.2019 21:00,4,21,4.0,751.1,56,32,0,0,0
08.04.2019 00:00,4,0,4.3,751.0,56,14,1,0,0
08.04.2019 03:00,4,3,3.5,750.5,63,14,1,0,0
08.04.2019 06:00,4,6,3.4,750.0,66,12,1,100,0
08.04.2019 09:00,4,9,4.8,749.2,63,12,2,100,0
08.04.2019 12:00,4,12,8.0,748.3,57,12,3,100,21
08.04.2019 15:00,4,15,7.9,747.0,72,14,4,100,21
08.04.2019 18:00,4,18,9.7,745.7,62,14,3,100,0
08.04.2019 21:00,4,21,10.9,745.1,51,16,2,100,0
09.04.2019 00:00,4,0,11.1,744.7,42,16,2,100,0
09.04.2019 03:00,4,3,10.0,744.7,49,14,2,100,0
09.04.2019 06:00,4,6,8.8,744.6,60,14,2,100,21
09.04.2019 09:00,4,9,9.3,744.6,66,16,1,95,65
09.04.2019 12:00,4,12,14.0,744.4,46,14,2,100,21
09.04.2019 15:00,4,15,17.8,743.5,34,14,3,75,51
09.04.2019 18:00,4,18,16.9,743.2,35,16,1,100,0
09.04.2019 21:00,4,21,12.2,744.4,66,2,2,100,0
10.04.2019 00:00,4,0,7.8,744.1,86,32,0,60,0
