# Метеостанция Симферополь (метеостанция),,, Россия, WMO_ID=33955,,,,,
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33955&lang=ru,,,,,,,,,
# Пожалуйста,,, при использовании данных, любезно указывайте названный сайт.,,,,,
"# Информация предоставлена сайтом ""Расписание Погоды""",,, rp5.ru,,,,,,
# Кодировка: UTF-8,,,,,,,,,
,,,,,,,,,
time,month,hour,T,Po,U,DD,Ff,N,W
25.02.2014 21:00,2,21,0.9,737.5,92,6,2,100,25
26.02.2014 00:00,2,0,1.1,737.1,91,4,3,100,25
26.02.2014 03:00,2,3,1.6,736.8,87,6,2,100,25
26.02.2014 06:00,2,6,1.8,737.1,93,0,1,100,50
26.02.2014 09:00,2,9,0.7,737.7,92,8,2,100,25
26.02.2014 12:00,2,12,1.4,737.9,91,4,2,100,50
26.02.2014 15:00,2,15,1.6,737.8,91,4,3,100,50
26.02.2014 18:00,2,18,0.5,737.9,92,8,2,100,50
26.02.2014 21:00,2,21,0.5,738.2,90,4,3,100,50
27.02.2014 00:00,2,0,0.5,738.2,92,4,1,100,25
27.02.2014 03:00,2,3,0.5,738.0,96,4,1,100,25
27.02.2014 06:00,2,6,0.1,738.1,98,2,2,100,29
27.02.2014 09:00,2,9,0.3,738.8,96,0,1,100,26
27.02.2014 12:00,2,12,-0.1,739.6,96,22,2,100,26
27.02.2014 15:00,2,15,0.8,739.4,89,20,3,100,7
27.02.2014 18:00,2,18,1.4,739.6,89,20,2,100,25
27.02.2014 21:00,2,21,1.0,739.5,92,20,1,100,25
28.02.2014 00:00,2,0,0.5,739.6,94,20,1,100,26
28.02.2014 03:00,2,3,0.4,739.3,100,20,1,100,14
28.02.2014 06:00,2,6,0.7,738.8,100,32,0,100,7
28.02.2014 09:00,2,9,0.9,739.4,97,0,0,100,15
28.02.2014 12:00,2,12,3.3,739.1,84,24,1,100,15
28.02.2014 15:00,2,15,4.2,738.3,77,24,2,100,0
28.02.2014 18:00,2,18,3.2,738.2,78,24,2,100,15
28.02.2014 21:00,2,21,2.8,738.9,81,20,2,100,0
01.03.2014 00:00,3,0,2.0,738.4,82,16,1,75,0
01.03.2014 03:00,3,3,1.8,738.1,84,16,1,100,0
01.03.2014 06:00,3,6,2.1,738.1,78,12,1,100,0
01.03.2014 09:00,3,9,2.3,738.5,77,10,1,100,0
01.03.2014 12:00,3,12,4.4,738.4,66,0,1,60,0
01.03.2014 15:00,3,15,7.2,737.6,65,2,2,100,0
01.03.2014 18:00,3,18,5.5,737.5,71,0,2,100,0
01.03.2014 21:00,3,21,4.4,736.6,84,6,2,100,0
02.03.2014 00:00,3,0,4.9,735.7,83,10,0,100,0
02.03.2014 03:00,3,3,5.3,734.7,81,14,1,100,0
02.03.2014 06:00,3,6,5.2,733.2,78,14,1,100,0
02.03.2014 09:00,3,9,6.1,732.3,66,8,0,100,0
02.03.2014 12:00,3,12,12.3,731.4,42,12,1,100,0
02.03.2014 15:00,3,15,12.8,729.8,38,14,3,100,11
02.03.2014 18:00,3,18,10.6,728.5,47,8,3,100,15
02.03.2014 21:00,3,21,9.5,727.7,58,6,3,100,0
03.03.2014 00:00,3,0,8.9,727.1,62,4,1,25,0
03.03.2014 03:00,3,3,8.5,727.5,65,18,1,100,0
03.03.2014 06:00,3,6,6.4,728.3,72,14,2,0,0
03.03.2014 09:00,3,9,9.2,729.5,67,14,2,75,0
03.03.2014 12:00,3,12,15.3,729.6,40,20,3,25,0
03.03.2014 15:00,3,15,16.9,729.4,32,18,4,25,0
03.03.2014 18:00,3,18,15.3,729.3,45,22,3,25,0
03.03.2014 21:00,3,21,8.6,729.9,77,12,1,0,0
04.03.2014 00:00,3,0,5.6,729.4,73,12,1,0,0
04.03.2014 03:00,3,3,6.4,728.3,72,2,1,0,0
04.03.2014 06:00,3,6,10.6,727.4,54,8,3,0,0
04.03.2014 09:00,3,9,12.6,727.3,58,8,3,100,0
04.03.2014 12:00,3,12,15.2,726.9,49,10,3,100,52
04.03.2014 15:00,3,15,14.1,726.9,66,8,2,100,12
04.03.2014 18:00,3,18,13.2,727.8,73,16,1,100,12
04.03.2014 21:00,3,21,9.3,729.4,95,18,1,100,12
05.03.2014 00:00,3,0,9.2,730.5,92,16,1,100,45
05.03.2014 03:00,3,3,9.3,731.8,88,14,1,95,0
05.03.2014 06:00,3,6,9.4,732.7,82,20,1,95,0
05.03.2014 09:00,3,9,9.0,733.8,81,14,1,75,0
05.03.2014 12:00,3,12,13.8,734.5,62,24,2,95,0
05.03.2014 15:00,3,15,14.0,734.7,58,6,1,75,37
05.03.2014 18:00,3,18,11.6,735.4,81,10,2,100,45
05.03.2014 21:00,3,21,9.6,735.9,81,8,1,25,0
06.03.2014 00:00,3,0,8.0,735.5,71,8,2,0,0
06.03.2014 03:00,3,3,6.4,735.4,84,8,1,0,0
06.03.2014 06:00,3,6,8.8,735.2,75,8,2,0,0
