# Метеостанция Симферополь (метеостанция),,, Россия, WMO_ID=33955,,,,,,,
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33955&lang=ru,,,,,,,,,,,
# Пожалуйста,,, при использовании данных, любезно указывайте названный сайт.,,,,,,,
"# Информация предоставлена сайтом ""Расписание Погоды""",,, rp5.ru,,,,,,,,
# Кодировка: UTF-8,,,,,,,,,,,
,,,,,,,,,,,
time,month,hour,T,Po,U,DD,Ff,N,WW,,
01.05.2019 00:00,5,0,13.0,732.0,63,12,2,0,0,,
01.05.2019 03:00,5,3,11.0,732.0,66,16,2,0,0,,
01.05.2019 06:00,5,6,12.6,731.3,57,16,2,60,0,,
01.05.2019 09:00,5,9,20.0,731.0,37,16,3,100,0,,
01.05.2019 12:00,5,12,20.0,731.0,53,24,4,100,0,,
01.05.2019 15:00,5,15,22.0,731.0,39,20,3,100,0,,
01.05.2019 18:00,5,18,19.7,730.3,45,24,4,100,0,,
01.05.2019 21:00,5,21,15.0,731.0,61,20,3,100,0,,
02.05.2019 00:00,5,0,13.0,731.0,60,16,3,0,0,,
02.05.2019 03:00,5,3,13.0,730.0,63,16,3,0,0,,
02.05.2019 06:00,5,6,13.0,730.0,76,20,2,50,0,,
02.05.2019 09:00,5,9,15.8,730.1,65,18,3,75,0,,
02.05.2019 12:00,5,12,16.0,731.0,61,24,3,100,0,,
02.05.2019 15:00,5,15,17.0,731.0,48,20,4,50,0,,
02.05.2019 18:00,5,18,15.0,731.0,56,24,2,50,0,,
02.05.2019 21:00,5,21,11.0,732.0,80,24,2,0,0,,
03.05.2019 00:00,5,0,9.0,733.0,86,16,1,0,0,,
03.05.2019 03:00,5,3,7.0,733.0,86,12,1,0,0,,
03.05.2019 06:00,5,6,6.9,733.1,79,14,2,0,0,,
03.05.2019 09:00,5,9,16.0,734.0,42,20,2,0,0,,
03.05.2019 12:00,5,12,19.0,735.0,37,20,3,0,0,,
03.05.2019 15:00,5,15,20.0,734.0,35,24,4,0,0,,
03.05.2019 18:00,5,18,17.0,735.0,50,24,3,100,0,,
03.05.2019 21:00,5,21,14.0,735.0,59,16,1,0,0,,
04.05.2019 00:00,5,0,10.0,735.0,69,12,3,0,0,,
04.05.2019 03:00,5,3,8.0,735.0,71,12,2,0,0,,
04.05.2019 06:00,5,6,8.0,735.0,60,12,3,0,0,,
04.05.2019 09:00,5,9,18.0,736.0,37,16,2,0,0,,
04.05.2019 12:00,5,12,21.0,735.0,35,0,2,50,0,,
04.05.2019 15:00,5,15,23.0,735.0,33,24,3,50,0,,
04.05.2019 18:00,5,18,21.0,735.0,31,24,3,50,0,,
04.05.2019 21:00,5,21,16.0,736.0,52,16,2,0,0,,
05.05.2019 00:00,5,0,13.0,736.0,47,8,2,0,0,,
05.05.2019 03:00,5,3,12.0,735.0,45,12,1,0,0,,
05.05.2019 06:00,5,6,10.1,734.8,57,12,2,0,0,,
05.05.2019 09:00,5,9,20.0,735.0,26,12,2,0,0,,
05.05.2019 12:00,5,12,22.0,735.0,23,12,3,50,0,,
05.05.2019 15:00,5,15,21.0,735.0,30,12,2,100,0,,
05.05.2019 18:00,5,18,19.0,734.0,31,12,4,50,0,,
05.05.2019 21:00,5,21,16.0,735.0,41,12,4,50,0,,
06.05.2019 00:00,5,0,13.0,734.0,58,12,1,0,0,,
06.05.2019 03:00,5,3,14.0,734.0,49,12,2,0,0,,
06.05.2019 06:00,5,6,14.6,733.3,48,14,2,75,0,,
06.05.2019 09:00,5,9,17.3,733.0,50,6,1,100,0,,
06.05.2019 12:00,5,12,19.0,733.0,40,8,2,100,0,,
06.05.2019 15:00,5,15,20.0,732.0,50,4,2,100,0,,
06.05.2019 18:00,5,18,22.0,731.0,49,0,2,50,0,,
06.05.2019 21:00,5,21,16.5,730.7,63,14,3,25,0,,
07.05.2019 00:00,5,0,13.0,731.0,65,12,2,0,0,,
07.05.2019 03:00,5,3,10.0,729.0,69,8,2,0,0,,
07.05.2019 06:00,5,6,11.0,730.0,79,12,2,0,37,,
07.05.2019 09:00,5,9,17.0,730.0,61,26,1,100,52,,
07.05.2019 12:00,5,12,15.0,731.0,84,26,2,100,15,,
07.05.2019 15:00,5,15,14.0,731.0,85,24,3,100,0,,
07.05.2019 18:00,5,18,17.0,731.0,65,16,1,50,0,,
07.05.2019 21:00,5,21,15.0,732.0,78,24,1,100,0,,
08.05.2019 00:00,5,0,13.0,733.0,83,24,1,100,40,,
08.05.2019 03:00,5,3,11.0,733.0,95,24,1,100,15,,
08.05.2019 06:00,5,6,10.0,733.0,92,20,1,100,45,,
08.05.2019 09:00,5,9,13.7,733.0,69,20,2,95,0,,
08.05.2019 12:00,5,12,14.0,734.0,73,24,2,100,0,,
08.05.2019 15:00,5,15,12.0,734.0,73,24,3,100,0,,
08.05.2019 18:00,5,18,12.0,735.0,73,20,3,100,0,,
08.05.2019 21:00,5,21,9.0,735.0,78,24,3,50,0,,
09.05.2019 00:00,5,0,9.0,735.0,83,20,2,100,0,,
09.05.2019 03:00,5,3,9.0,734.0,78,20,2,100,0,,
09.05.2019 06:00,5,6,9.0,734.0,77,20,1,50,0,,
09.05.2019 09:00,5,9,11.1,733.8,70,20,2,100,0,,
09.05.2019 12:00,5,12,12.0,734.0,64,20,3,100,0,,
09.05.2019 15:00,5,15,13.7,734.4,60,22,4,100,0,,
09.05.2019 18:00,5,18,13.0,734.0,67,20,4,100,0,,
09.05.2019 21:00,5,21,10.0,735.0,83,20,2,0,0,,
10.05.2019 00:00,5,0,8.0,734.0,86,12,1,0,0,,
10.05.2019 03:00,5,3,6.0,734.0,88,16,1,0,0,,
10.05.2019 06:00,5,6,5.0,735.0,88,16,2,0,0,,
10.05.2019 09:00,5,9,14.0,735.0,55,16,2,50,0,,
10.05.2019 12:00,5,12,16.0,734.0,48,26,1,100,0,,
10.05.2019 15:00,5,15,18.0,733.0,44,16,2,100,0,,
10.05.2019 18:00,5,18,16.0,733.0,58,24,3,100,15,,
10.05.2019 21:00,5,21,12.0,734.0,85,12,1,100,0,,
11.05.2019 00:00,5,0,11.0,734.0,82,12,1,100,0,,
11.05.2019 03:00,5,3,11.0,734.0,81,12,1,100,0,,
11.05.2019 06:00,5,6,11.0,735.0,81,12,1,100,0,,
11.05.2019 09:00,5,9,15.0,735.0,57,8,1,100,0,,
11.05.2019 12:00,5,12,17.0,736.0,52,24,1,100,15,,
11.05.2019 15:00,5,15,16.0,737.0,67,26,1,100,52,,
11.05.2019 18:00,5,18,13.0,737.0,85,12,2,100,45,,
11.05.2019 21:00,5,21,12.8,737.8,82,26,1,75,0,,
12.05.2019 00:00,5,0,10.0,739.0,91,12,2,0,0,,
12.05.2019 03:00,5,3,8.0,739.0,92,12,2,0,0,,
12.05.2019 06:00,5,6,7.3,738.9,92,14,2,0,0,,
12.05.2019 09:00,5,9,16.0,739.0,67,4,1,50,0,,
12.05.2019 12:00,5,12,19.0,739.0,60,0,2,50,12,,
12.05.2019 15:00,5,15,16.0,740.0,85,8,2,100,45,,
12.05.2019 18:00,5,18,17.0,740.0,75,24,2,100,37,,
12.05.2019 21:00,5,21,14.0,741.0,83,24,2,100,0,,
13.05.2019 00:00,5,0,13.0,740.0,92,12,1,50,0,,
13.05.2019 03:00,5,3,12.0,740.0,91,12,1,100,0,,
13.05.2019 06:00,5,6,12.0,749.0,92,16,2,50,0,,
13.05.2019 09:00,5,9,15.0,740.0,77,12,1,100,0,,
13.05.2019 12:00,5,12,19.0,741.0,66,24,1,100,0,,
13.05.2019 15:00,5,15,21.0,740.0,53,24,2,50,0,,
13.05.2019 18:00,5,18,19.0,740.0,55,26,2,0,0,,
13.05.2019 21:00,5,21,14.0,741.0,82,32,0,0,0,,
